Index,Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,June_C,July_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C,Station
11921,2018,19.2,23.2,26.7,28.3,28.2,28.5,28.5,28.9,29.1,26.8,24.5,21.1,Chattogram_Airport
11921,2019,20.8,22.9,26.1,28.8,30.3,29.8,28.3,29.1,28.6,28.5,25.6,20.9,Chattogram_Airport
11921,2020,19.9,21.5,26.6,28.1,29.3,28.9,28.7,28.5,29.1,29.1,25.4,21.1,Chattogram_Airport
11921,2021,21,22.6,27.6,29.5,29.9,28.1,28.4,28.4,29,29,26.1,22.2,Chattogram_Airport
11921,2022,20.7,22,27.1,29.3,29,28.5,29.6,29.5,28.8,28.5,26.5,22.8,Chattogram_Airport
41977,2018,18.6,23.1,26.7,27.9,27.8,28.3,28.2,28.7,28.7,26.2,23.6,20.4,Chattogram_Ambagan
41977,2019,19.9,22.5,26,28.8,30.1,29.6,28.2,28.9,28.4,27.8,24.9,20.2,Chattogram_Ambagan
41977,2020,19.4,21.2,26.5,27.7,29.1,28.8,28.5,28.5,28.8,29,24.9,20.8,Chattogram_Ambagan
41977,2021,20.8,22.8,27.7,29.4,29.7,27.9,28.3,28.3,28.8,28.5,25.1,21.5,Chattogram_Ambagan
41977,2022,20.2,21.6,27.3,29.3,28.7,28.4,29.3,29.3,28.6,28,25.5,22,Chattogram_Ambagan
11925,2018,19.6,22.7,26.2,28.2,28.3,28.3,28,28.5,28.6,26.5,24.2,21.2,Kutubdia
11925,2019,20.4,22.6,25.4,28.4,30.3,29.6,28.2,28.8,28.3,28.2,25.5,21.2,Kutubdia
11925,2020,19.9,21.1,25.9,28,29,28.8,28.6,28.1,28.8,28.8,25.5,21.4,Kutubdia
11925,2021,20.9,22.1,26.7,28.7,29.6,27.8,28.2,28.3,28.6,28.7,26.4,22.3,Kutubdia
11925,2022,20.8,21.8,26.3,28.9,28.9,28.4,29.3,29,28.6,28.5,26.4,23.3,Kutubdia
12007,2018,17.5,21.7,26,27,26.5,27.4,27.7,28,27.9,25.5,22.1,19.2,Rangamati
12007,2019,18.2,20.9,24.7,27.9,29.4,28.7,27.6,28.5,28.2,27.4,24.2,19.2,Rangamati
12007,2020,18.3,19.7,25.2,27,28.2,28.2,28.1,28.3,28.7,28.8,24,19.5,Rangamati
12007,2021,19.1,20.8,27,29.5,29.6,27.8,28.2,27.9,28.8,28.5,24.4,20.8,Rangamati
12007,2022,19.1,20.1,26.6,29.4,28.1,27.7,29,29,28.4,27.8,24.6,21.2,Rangamati
