Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Spt_C,Oct_C,Nov_C,Dec_C,Annual,Month,Station
2018,10.8,15.3,19.2,21,21.5,22.3,24.5,24.4,25,21.5,17,10.6,10.6,12,Chattogram_Airport
2019,12.3,14,15.5,19,22.2,23.4,22.5,25.1,24.3,23.4,18.2,13.3,12.3,1,Chattogram_Airport
2020,12.3,11.2,17.2,19.8,21.4,24.5,24.8,24.6,24.5,24,16.4,13.1,11.2,2,Chattogram_Airport
2021,13.2,11.5,20.8,21.5,22.2,23,24.1,24.5,23.8,23.4,17.2,14.7,11.5,2,Chattogram_Airport
2022,12.5,12.9,17.6,20,21.2,22.9,24.7,24.7,24.2,21.5,18.6,14.2,12.5,1,Chattogram_Airport
2018,10.9,15.5,18.4,20.3,21,23,24.3,23.5,24.5,20.8,16.5,10.4,10.4,12,Chattogram_Ambagan
2019,12.7,13.5,15.8,18.9,21.4,23.4,23,25,24,23,18,13.1,12.7,1,Chattogram_Ambagan
2020,12.4,12,17.3,20,21.5,24,24.7,24.6,24.5,23.1,16,13.4,12,2,Chattogram_Ambagan
2021,13.3,10.6,19.9,20.3,21,22.5,24,18.4,24,23,17.1,14,10.6,2,Chattogram_Ambagan
2022,12.4,13,18.5,19.8,21.5,23.5,24.8,24.3,24,20.3,17.5,13.7,12.4,1,Chattogram_Ambagan
2018,11.2,15.5,18.2,20.5,21.6,23.2,24.6,24.5,24.1,21.5,16.5,12.1,11.2,1,Kutubdia
2019,12.5,13.5,16.4,19.8,22.5,24.3,23.5,24.5,23.8,23.1,17.5,13.8,12.5,1,Kutubdia
2020,12.2,11.2,17.3,21.7,22.5,24.1,25,24.8,25,24,17,13.2,11.2,2,Kutubdia
2021,13,12.6,19.8,20.4,22.2,23.2,21.8,24.5,24.5,23,16.5,13,12.6,2,Kutubdia
2022,12.4,12.6,16.2,21,22.5,23.1,24.3,23.4,24.3,21,18,13.5,12.4,1,Kutubdia
2018,8,13.1,16.8,18.5,19,22.5,24,23.1,22.8,19,14,10,8,1,Rangamati
2019,9.8,11,12,18,21.5,23.2,23,24,23.6,22,16.8,12,9.8,1,Rangamati
2020,9.3,9.3,15,17.3,20.6,23.8,24.5,23.7,24.4,23.7,14.9,10.5,9.3,1,Rangamati
2021,10,9.5,17.2,19.5,21,23,24,24.2,23,22.5,15,13,9.5,2,Rangamati
2022,9.8,10.5,13.7,19,22,23,24.5,23.5,23,20,14.5,13.2,9.8,1,Rangamati
