Year,Jan_mm,Feb_mm,Mar_mm,Apr_mm,May_mm,Jun_mm,Jul_mm,Aug_mm,Spt_mm,Oct_mm,Nov_mm,Dec_mm,Annual,Station
2018,13,0,20,72,388,667,807,325,148,306,2,4,2752,Chattogram_Airport
2019,0,5,8,73,206,152,1110,466,365,123,83,10,2601,Chattogram_Airport
2020,49,5,0,129,119,399,605,680,350,338,125,0,2799,Chattogram_Airport
2021,0,0,0,2,130,793,1071,735,364,234,0,95,3424,Chattogram_Airport
2022,1,11,0,44,345,582,271,116,386,154,0,20,1930,Chattogram_Airport
2018,13,0,12,115,348,791,751,330,152,496,2,22,3032,Chattogram_Ambagan
2019,0,40,12,109,205,137,1118,530,402,206,103,8,2870,Chattogram_Ambagan
2020,51,4,130,137,245,420,548,480,340,216,99,0,2670,Chattogram_Ambagan
2021,0,0,0,19,187,743,904,685,283,380,0,79,3280,Chattogram_Ambagan
2022,5,15,0,34,355,717,271,152,520,185,0,4,2258,Chattogram_Ambagan
2018,11,0,0,90,273,737,744,435,319,365,4,18,2996,Kutubdia
2019,0,21,46,23,94,139,1244,303,496,187,57,3,2613,Kutubdia
2020,40,0,0,82,305,631,879,898,215,368,55,0,3473,Kutubdia
2021,0,0,0,11,100,816,1145,893,228,215,0,85,3493,Kutubdia
2022,7,15,0,40,288,546,213,97,333,169,0,0,1708,Kutubdia
2018,6,0,4,236,291,1037,504,281,336,257,0,35,2987,Rangamati
2019,0,36,15,102,215,267,1137,355,271,170,133,5,2706,Rangamati
2020,52,5,0,147,340,350,433,213,289,324,34,0,2187,Rangamati
2021,0,0,0,32,99,375,478,568,231,146,0,73,2002,Rangamati
2022,11,8,0,64,332,550,385,345,243,157,4,4,2103,Rangamati
